NOMBRE CIENTÍFICO;NOMBRE COMÚN;REINO;"ENDÉMICA
respecto de Chile
 
-- = No presente en Chile

? = dudoso";"DISTRIBUCIÓN REGIONES:
ANT= ANTARTICA
DV= DESVENTURADAS
IP= ISLA DE PASCUA
JF= Arch. JUAN FERNÁNDEZ
SG= SALAS Y GOMEZ
? = Sin datos o de presencia dudosa o requiere confirmación";Arica y Parinacota;Tarapacá;Antofagasta;Atacama;Coquimbo;Valparaíso continental;Metropolitana;O'higgins;Maule;Ñuble;Bío-Bío;Araucanía;De Los Ríos;De Los Lagos;Aysén;Magallanes continental e insular;Antártica;Isla Pascua;Salas y Gómez;Juan Fernandez;Desventuradas;"CATEGORÍA VIGENTE:
CR = En peligro crítico
DD = Datos insuficientes
EN = En Peligro
EW= Extinta en estado silvestre
EX = Extinta
LC = Preocupación menor
NT = Casi amenazada
R  = Rara
VU = Vulnerable";"ID
Inven
tario
Na
cio
nal";
Microsorum scolopendria;;Plantae;NO;IP;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;VU;496;
Midacritus stuardoanus;mosca de las arenas de Stuardo;Animalia;SI;III-IV;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NT;8281;
Midacritus wagenknechti;mosca de las arenas de Wagenknecht;Animalia;SI;III-IV;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;DD;8282;
Miersia cornuta;miersia;Plantae;SI;IV-V;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN;497;
Miersia putaendensis ;miersia de Putaendo;Plantae;SI;V;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN;;
Miersia raucoana;miersia de Rauco;Plantae;Sí;VII;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;EN;;
Miersia stellata;estrella de Lampa, miersia estrellada, miersia de Lampa;Plantae;Sí;RM;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN;;
Miersia tenuiseta;no conocido;Plantae;SI;V;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;VU;;
Mimulus glabratus var. externus; ;Plantae;Si;JF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;CR;;
Miqueliopuntia miquelii;;Plantae;SI;III-IV;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;LC;554;
Mirounga leonina;elefante marino;Animalia;NO;II-XII;0;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;0;1;sd;"VU (Chile Continental Americano); LC (Chile Continental Antártico)";746;
Missulena elpis;araña ratón del Cerro Esperanza;Animalia;Sí;V;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NO SE CLASIFICA;;
Missulena tussulena;araña ratón chilena;Animalia;Sí;V;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;DD;;
Mitrodetus dimidiatus;mosca dorada de las arenas;Animalia;SI;III-IV;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;LC;8283;
Mitrodetus leucotrichus;mosca de las arenas;Animalia;SI;III-IV;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;VU;8284;
Mitrodetus microglossa;mosca dorada de las arenas;Animalia;SI;II-III;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;LC;8285;
Mitrodetus nanoglossa;mosca de las arenas de trompa corta;Animalia;SI;III-IV;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;VU;8286;
Mitrodetus vestitus;mosca dorada de las arenas;Animalia;SI;III-RM;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;LC;8287;
Mobula mobular;manta, manta mobula;Animalia;NO;XV-III;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;taxón con presencia accidental en Chile;;
Mobula tarapacana;manta chilena, manta cornuda;Animalia;NO;XV-I;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;taxón con presencia accidental en Chile;;
Mobula thurstoni;manta diablo;Animalia;NO;XV-I;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;taxón sin registros de presencia en Chile;;
Moluchia brevipennis;cucaracha, molukia;Animalia;SI;IV-V;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;VU;8288;
Moluchia castanea;"cucaracha, molukia ámbar
";Animalia;SI;IV-RM, VII-VIII;0;0;0;0;1;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;DD;8238;
Moluchia strigata;"cucaracha, molukia de alas largas
";Animalia;SI;V, VI-VII;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;NT;8239;
Montagnea arenaria;tintero del desierto;Fungi;NO;I-III;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;LC;;
Monttea chilensis;uvillo;Plantae;SI;II, IV-V;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN;256;
Mordacia lapicida;lamprea de agua dulce;Animalia;SI;V-XII, RM?;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;EN;179;
Mormopterus kalinowskii;Murciélago coludo de Kalinowski, Kalinowski's Mastiff Bat (inglés);Animalia;NO;XV-I;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;VU;8240;
Mugil cephalus;lisa, cachamba, liza cachambiza, lisa común, utempe, cachambra;Animalia;NO;XV-V, VI-X;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0;LC;819;
Mulguraea tridens;mata negra;Plantae;NO;XII;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;VU;5082;
Mustelus mento;musola moteada;Animalia;NO;XV-X, JF;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;0;0;0;1;0;0;CR;;
Mustelus whitneyi;musola jorobada;Animalia;NO;XV-III;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CR;;
Mycena cyanocephala;hongo azul;Fungi;NO;RM-XII;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;LC;;
Mycena subulifera;hongo;Fungi;?;VIII-X;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;NT;;
Myiophobus fasciatus;cazamoscas pico chato;Animalia;NO;XV;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NT;;
Myocastor coypus;coipo;Animalia;NO;IV-XII;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;LC;765;
Myotis atacamensis;murciélago gris, murciélago de Atacama, murciélago orejas de ratón del norte;Animalia;NO;XV-V;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NT;8188;
Myotis chiloensis;murciélago oreja de ratón del sur, murciélago oreja de ratón de Chiloé, chilean Myotis (inglés);Animalia;NO;IV-XII;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;LC;4045;
Myrceugenia colchaguensis;arrayán de Colchagua;Plantae;SI;V-IX;0;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;EN;499;
Myrceugenia correifolia;petrillo;Plantae;SI;IV-VII;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;LC;500;
Myrceugenia leptospermoides;macolla, murtilla del malo, chequén, luma blanca, pitrilla;Plantae;SI;VII-IX;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;LC;501;
Myrceugenia pinifolia;chequén de hoja fina, arrayán de hoja chica;Plantae;SI;VII-VIII;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;LC;502;
Myrceugenia rufa;hitigu, arrayán de hoja roja;Plantae;Sí;IV-V;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NT;;
Myrceugenia schulzei;luma de Masafuera;Plantae;Sí;JF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;CR;;
Myrcianthes coquimbensis;mirciantes, lucumillo;Plantae;SI;IV;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN;100;
Myrica pavonis;pacama;Plantae;NO;XV-I;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;VU;257;
Myriolecis dispersa anteriormente llamada Lecanora dispersa;liquen;Fungi;NO;XIII, XI-XII, ANT, JF;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;0;0;1;0;LC;;
Myrosmodes nervosa;;Plantae;NO;XV-I;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;VU;1828;
Nannophryne variegata;sapo variegado;Animalia;NO;VIII-XII;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;LC;655;
Nardophyllum genistoides;;Plantae;SI;RM;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN;5423;
Nematogenys inermis;bagre grande;Animalia;SI;RM-IX;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;EN;180;
Neoholopterus antarcticus;sierra de la estepa;Animalia;NO;XII;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;VU;5424;
Neoporteria castanea;Castañita;Plantae;SI;RM,VI-VII;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;VU;507;
Neoporteria clavata;cactus maza;Plantae;SI;IV;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;VU;509;
Neoporteria nidus;viejito, nidito;Plantae;SI;IV;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN;526;
Neoporteria villosa; ;Plantae;SI;III-IV;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;VU;537;
Neowerdermannia chilensis;macso, achacana;Plantae;SI;XV;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN;539;
Neoxolmis rufiventris;cazamoscas chocolate;Animalia;NO;XI-XII;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;LC;4069;
Nesocaryum stylosum;;Plantae;SI;DV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;CR;8289;
Nesofregetta fuliginosa;golondrina de mar de garganta blanca;Animalia;NO;IP, SG;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;EN;722;
Neuquenaphis staryi;"No tiene, se propone ""pulgón del Ruíl""";Animalia;SI;VII;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;EN;8290;
Nicotiana cordifolia; ;Plantae;Si;JF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;CR;1065;
Nicotiana rupicola;;Plantae;SI;IV;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CR;;
Nigroperla costalis;;Animalia;SI;VII-IX;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;CR;2756;
Nitrophila atacamensis;;Plantae;SI;II;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN;;
Nolana balsamiflua;suspiro;Plantae;SI;II;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;VU;540;
Nolana diffusa;;Plantae;SI;II;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NT;;
Nolana lachimbensis;planta (genérico);Plantae;Si;II;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CR;;
Nolana onoana;no conocido;Plantae;SI;II;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN;;
Nolana stenophylla;;Plantae;SI;II-III;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NT;2870;
Nothofagus alessandrii;ruil ;Plantae;SI;VII;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;EN-R;29;
Nothofagus glauca;hualo;Plantae;SI;RM, VI-VIII;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;NT;258;
Nothofagus macrocarpa;Roble de Santiago, roble blanco, roble, hualle, pellín,hualo;Plantae;SI;V, RM, VI;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;VU;;
Notholaena chilensis;;Plantae;Si;JF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;EN-R;309;
Notholaena sulphurea;;Plantae;NO;III;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;VU;542;
Nothomyrcia fernandeziana;luma de Masatierra, luma de Juan Fernández, lumilla;Plantae;SI;JF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;CR;;
Nothoprocta perdicaria;perdiz chilena, perdiz, inambú chileno, tinamú chileno, pisaca, vudu, fuisu;Animalia;SI;III-X;0;0;0;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;LC;;
Nothoscordum serenense;;Plantae;SI;III-IV;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN;543;
Notiothauma reedi;;Animalia;SI;V?, VIII-XIV;0;0;0;0;0;sd;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;LC;2783;
Numenius borealis;zarapito boreal;Animalia;NO;XV-X;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;CR;687;
Numenius phaeopus;zarapito común;Animalia;No;XV-XII;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;LC;;
Numenius tahitiensis;zarapito polinésico;Animalia;Presencia accidental;Presencia accidental, en Isla de Pascua;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;Taxón con presencia accidental en Chile;;
Nycterinus angusticollis;insecto joya;Animalia;SI;II;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN;;
Nycterinus barriai;tenebrio de Barría;Animalia;SI;II;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;VU;;
Nycterinus borealis;cucaracho negro;Animalia;SI;I-II;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN;2778;
Nycterinus mannerheimi;tenebrio de Mannerheim, teatino de Mannerheim;Animalia;SI;III-IV;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN;;
Nycterinus penai;tenebrio de Peña, teatino de Peña;Animalia;SI;II;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CR;;
Nycticryphes semicollaris;becacina pintada;Animalia;NO;IV-XVI;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;EN;684;
Oceanites gracilis;golondrina de mar chica;Animalia;NO;XV-V;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;DD;723;
Oceanites pincoyae;golondrina de mar Pincoya, paíño Pincoya, Pincoya Storm-petrel (inglés);Animalia;Sí;VIII-XI;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;DD;;
Ochagavia elegans;ajo dulce;Plantae;Si;JF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;VU;310;
Octodon bridgesi;degú de los matorrales;Animalia;NO;VI-IX;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;LC;769;
Octodon lunatus;degú costino;Animalia;SI;IV-RM;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NT;770;
Ocyroe armata;;Plantae;NO;II;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;VU;8187;
Odontesthes brevianalis;cauque del norte;Animalia;SI;IV-V, VI-X;0;0;0;0;1;1;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0;VU;181;
Odontesthes gracilis;pejerrey de Juan Fernández;Animalia;Si;JF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;VU-R;182;
Odontesthes hatcheri;pejerrey, pejerrey atagónico;Animalia;NO;X-XI;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;NT;820;
Odontesthes mauleanum;cauque  ;Animalia;SI;V, VI-X;0;0;0;0;0;1;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0;VU;183;
Odontesthes regia;pejerrey de mar;Animalia;NO;XV-V, VI-XI;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;LC;2850;
Oenothera grisea;don Diego de la noche;Plantae;SI;V;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CR;8241;
Omalonyx gayana;caracol terrestre Omalonyx;Animalia;SI;JF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;CR;219;
Omatophoca rossi;foca de Ross;Animalia;NO;ANT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;LC;;
Omphalina versatilis;hongo (genérico);Fungi;NO;V-VII;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;NT;;
Oogenius castilloi;;Animalia;SI;IV;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN;2770;
Oogenius penai;;Animalia;SI;RM;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN;2771;
Ophioglossum crotalophoroides;helecho;Plantae;NO;V, VII-XII;0;0;0;0;0;1;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0;NT;2671;
Ophioglossum fernandezianum;helecho;Plantae;SI;JF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;CR;311;
Ophioglossum lusitanicum;;Plantae;NO;V-VIII, IP;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;1;0;0;0;NT;544;
Ophioglossum nudicaule;;Plantae;SI;XI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;VU;545;
Ophioglossum reticulatum;;Plantae;NO;IP;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;VU;546;
Ophioglossum vulgatum;;Plantae;NO;XIV- X;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;DD;547;
Orafortis luma;cochinilla de fieltro (genérico);Animalia;Si;X;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;LC;;
Orcinus orca;orca;Animalia;NO;XV-V, VI-XII, ANT, JF;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;0;1;0;DD;813;
Oreocereus australis;;Plantae;SI;XV-I;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;VU;558;
Oreocereus hempelianus;tunilla, achakaño (Aymara), macsda (Aymara);Plantae;NO;XV-I;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;LC;559;
Oreocereus leucotrichus;viejito, chastudo;Plantae;NO;XV-II;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;LC;560;
Oreocereus variicolor;chastudo;Plantae;NO;XV-I;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;LC;561;
Oreopholus ruficollis;chorlo de campo, pachurrón;Animalia;NO;XVI-XII;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;"NT (II-X); LC (XV-I; XI-XII)";4122;
Orestias agassii;karachi, orestias;Animalia;NO;XV-II ;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN;184;
Orestias ascotanensis;karachi, orestias;Animalia;SI;II;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN;185;
Orestias chungarensis;karachi, orestias;Animalia;SI;XV;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN;186;
Orestias gloriae;pez (genérico);Animalia;Si;II;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CR;;
Orestias laucaensis;karachi, orestias;Animalia;SI;XV;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN;187;
Orestias parinacotensis;karachi, orestias;Animalia;SI;XV;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;EN;188;
